mean,image_x,image_y
103.6294937133789,348,324
124.1029281616211,437,382
79.40708923339844,251,201
69.86021423339844,725,662
128.10186767578125,491,426
108.37141418457031,623,507
84.11712646484375,708,614
79.40708923339844,251,201
87.42205047607422,436,358
117.78331756591797,326,298
73.41014099121094,292,272
106.43862915039062,251,218
89.72677612304688,361,327
83.35350036621094,623,512
102.27371978759766,495,435
115.41018676757812,768,622
93.83854675292969,957,821
110.5978012084961,612,505
118.0302963256836,648,555
106.31019592285156,400,351
106.41454315185547,252,230
84.33234405517578,308,252
102.60077667236328,441,374
98.21500396728516,452,383
123.11700439453125,278,226
117.6572036743164,285,247
104.82514953613281,690,609
116.64933776855469,543,448
150.36737060546875,591,467
104.63009643554688,690,574
138.41310119628906,635,540
114.79741668701172,270,228
72.18565368652344,430,372
112.24352264404297,465,378
105.4215316772461,414,352
72.67207336425781,457,388
57.256507873535156,135,140
109.15709686279297,500,372
119.63488006591797,601,504
133.45596313476562,559,531
78.61038208007812,497,341
57.084716796875,220,229
108.15542602539062,464,387
92.65847778320312,422,363
86.55880737304688,468,361
146.97833251953125,269,212
88.56819915771484,504,361
96.34850311279297,559,404
137.98968505859375,632,544
141.4363250732422,338,281
106.48706817626953,554,449
107.22760009765625,232,188
98.58460235595703,591,463
83.7154312133789,511,352
129.5352783203125,265,200
90.8409423828125,284,245
117.114501953125,336,264
107.91864013671875,294,250
118.04446411132812,378,280
150.30404663085938,621,524
115.43456268310547,337,271
103.51752471923828,352,279
135.513671875,649,522
96.35338592529297,293,247
106.07415771484375,296,258
110.89958190917969,422,345
125.58914947509766,408,274
85.93108367919922,435,327
112.4511489868164,577,538
126.88959503173828,405,321
140.67462158203125,573,431
94.9258804321289,544,447
119.96375274658203,281,242
90.18669891357422,627,543
88.17284393310547,504,427
138.82913208007812,399,278
99.85968017578125,317,229
91.59439849853516,290,224
86.68639373779297,509,416
115.0523681640625,627,488
91.93925476074219,518,382
110.25141906738281,558,450
108.34375,238,197
102.28717041015625,582,479
127.6036605834961,290,229
100.45529174804688,464,324
90.20116424560547,283,227
97.71145629882812,317,239
115.28972625732422,416,274
91.30422973632812,520,420
110.7132568359375,281,237
93.08521270751953,386,318
136.71339416503906,597,463
128.21128845214844,396,294
117.70394134521484,456,345
125.75922393798828,576,436
98.195556640625,304,236
154.8981170654297,599,484
109.71012878417969,410,293
119.03883361816406,358,318
99.40139770507812,554,408
106.50678253173828,287,248
84.43724822998047,530,413
102.61981964111328,315,230
99.99678802490234,290,250
79.02334594726562,521,425
116.1626205444336,555,456
110.71773529052734,509,522
109.66790771484375,622,487
116.98405456542969,372,291
148.71688842773438,641,515
120.08625030517578,576,498
126.86279296875,350,313
118.86713409423828,407,298
84.11036682128906,512,410
101.61862182617188,290,262
89.9063949584961,298,281
100.29428100585938,450,344
113.36396026611328,508,418
96.55204010009766,454,384
89.67082977294922,467,378
92.8775863647461,410,317
144.07791137695312,609,481
96.39673614501953,272,230
108.32967376708984,459,388
100.28934478759766,520,426
85.7296371459961,513,413
89.83436584472656,291,261
95.0746078491211,454,363
107.93549346923828,271,249
104.29426574707031,287,253
94.08712005615234,528,414
108.68866729736328,415,360
129.59921264648438,367,303
98.29869079589844,404,321
101.71260833740234,454,420
124.84269714355469,443,338
103.83887481689453,353,277
99.03618621826172,300,262
109.96772003173828,466,355
104.87491607666016,493,510
104.62078094482422,299,261
110.1150131225586,267,237
99.45506286621094,451,343
98.73654174804688,265,230
105.66613006591797,424,329
61.41572570800781,227,222
103.83232879638672,622,508
96.70777130126953,301,273
122.73069763183594,652,451
132.9699249267578,548,466
113.0173110961914,505,413
92.60515594482422,392,301
92.71284484863281,223,226
104.70877075195312,426,311
98.7618637084961,267,235
91.29061889648438,460,372
101.66956329345703,461,326
98.75048828125,263,222
92.70709991455078,629,500
86.5704574584961,230,219
111.03380584716797,498,409
142.45628356933594,597,449
97.72999572753906,437,349
98.463623046875,608,506
149.01461791992188,615,445
127.49372863769531,288,231
80.65186309814453,199,190
90.1036148071289,630,483
96.9178237915039,268,224
101.46955108642578,462,315
99.6530990600586,456,375
91.32540130615234,301,243
109.86812591552734,241,183
102.0679931640625,591,467
89.87257385253906,305,253
79.14519500732422,158,134
131.10438537597656,413,345
118.50503540039062,604,473
100.79637908935547,582,503
96.7725830078125,589,495
96.37469482421875,518,399
137.27804565429688,564,507
54.667850494384766,225,225
88.16929626464844,308,251
102.0892562866211,582,470
79.36067962646484,299,262
110.18434143066406,409,312
107.35778045654297,232,182
80.00517272949219,295,257
66.2125244140625,225,225
86.26648712158203,325,252
132.38612365722656,605,550
105.04671478271484,423,346
151.83676147460938,624,483
108.7365493774414,564,515
90.6361312866211,323,255
67.04695892333984,251,201
85.78242492675781,293,247
98.4688949584961,276,217
