time,mean,image_x,image_y
2024-01-16 16:35:40.325828, 104.82514953613281, 690, 609
2024-01-16 16:35:49.808806, 104.82514953613281, 690, 609
2024-01-16 16:36:05.832336, 113.36396026611328, 508, 418
2024-01-16 16:36:13.066476, 126.88959503173828, 405, 321
